Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price ,Total Traded Quantity,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,26-Dec-23,3824.00,3819.85,3834.00,3790.15,3798.10,3795.55,3806.25,1285231.00,4891912408.60,105834.00,746906.00,58.11
TCS,EQ,27-Dec-23,3795.55,3799.00,3818.20,3768.00,3808.00,3811.20,3792.62,1293976.00,4907556179.85,135647.00,779111.00,60.21
TCS,EQ,28-Dec-23,3811.20,3824.00,3838.00,3792.10,3796.15,3799.90,3811.22,1682889.00,6413855833.10,133761.00,1016895.00,60.43
TCS,EQ,29-Dec-23,3799.90,3792.00,3822.60,3765.40,3800.00,3793.40,3796.92,1574996.00,5980129693.80,131434.00,1004864.00,63.80
TCS,EQ,01-Jan-24,3793.40,3790.00,3832.00,3773.00,3803.00,3811.10,3804.27,825907.00,3141974600.85,94008.00,421397.00,51.02
TCS,EQ,02-Jan-24,3811.10,3811.10,3811.10,3767.25,3781.15,3783.20,3787.05,1344068.00,5090055959.15,133902.00,928322.00,69.07
TCS,EQ,03-Jan-24,3783.20,3767.00,3771.85,3687.05,3692.60,3691.75,3711.76,1803075.00,6692584987.50,208012.00,1188251.00,65.90
TCS,EQ,04-Jan-24,3691.75,3701.75,3719.00,3651.00,3668.60,3666.80,3668.32,3598144.00,13199152251.35,220494.00,2670094.00,74.21
TCS,EQ,05-Jan-24,3666.80,3675.00,3747.75,3674.85,3738.60,3737.90,3721.70,1963127.00,7306170829.65,155406.00,1033124.00,52.63
TCS,EQ,08-Jan-24,3737.90,3737.90,3739.75,3672.40,3680.85,3678.30,3696.43,1067805.00,3947062246.40,137547.00,629551.00,58.96
TCS,EQ,09-Jan-24,3678.30,3709.95,3752.35,3682.75,3696.00,3689.90,3716.16,1370944.00,5094642955.85,112174.00,756812.00,55.20
TCS,EQ,10-Jan-24,3689.90,3690.00,3729.25,3688.00,3707.05,3713.05,3706.94,1292227.00,4790202220.40,111912.00,755246.00,58.45
TCS,EQ,11-Jan-24,3713.05,3724.00,3773.00,3707.00,3726.70,3735.55,3738.42,1777909.00,6646566140.90,135916.00,899818.00,50.61
TCS,EQ,12-Jan-24,3735.55,3848.00,3905.25,3821.60,3881.90,3882.80,3873.63,6813450.00,26392805818.30,337824.00,3768543.00,55.31
TCS,EQ,15-Jan-24,3882.80,3960.00,3965.00,3885.00,3902.00,3903.80,3922.67,2801505.00,10989386687.15,265310.00,1562049.00,55.76
TCS,EQ,16-Jan-24,3903.80,3899.00,3899.00,3855.55,3861.05,3861.30,3873.57,1432672.00,5549555027.65,157027.00,900573.00,62.86
TCS,EQ,17-Jan-24,3861.30,3819.00,3909.95,3812.55,3880.00,3884.60,3882.57,3458696.00,13428630127.85,161556.00,2230573.00,64.49
TCS,EQ,18-Jan-24,3884.60,3898.00,3908.80,3862.00,3902.00,3902.60,3887.98,2239110.00,8705605580.15,200495.00,1362977.00,60.87
TCS,EQ,19-Jan-24,3902.60,3945.00,3963.55,3915.05,3947.00,3943.05,3942.73,2941975.00,11599414329.35,272591.00,1933463.00,65.72
TCS,EQ,20-Jan-24,3943.05,3948.00,3955.65,3855.55,3859.30,3860.65,3896.81,516477.00,2012614827.20,47373.00,222448.00,43.07
TCS,EQ,23-Jan-24,3860.65,3900.00,3933.90,3842.75,3860.05,3858.25,3881.80,2618854.00,10165879227.30,214176.00,1756285.00,67.06
TCS,EQ,24-Jan-24,3858.25,3880.00,3883.65,3805.60,3859.40,3841.80,3842.01,2657709.00,10210948798.05,119466.00,1984308.00,74.66
TCS,BL,25-Jan-24,3514.65,3841.80,3841.80,3841.80,3841.80,3841.80,3841.80,27024.00,103820803.20,1.00,-,-
TCS,EQ,25-Jan-24,3841.80,3839.90,3861.00,3778.70,3807.00,3810.30,3803.09,2205154.00,8386394648.75,186169.00,1332663.00,60.43
TCS,EQ,29-Jan-24,3810.30,3800.80,3820.00,3780.85,3807.00,3801.00,3798.49,1646747.00,6255155335.60,114028.00,1142824.00,69.40
TCS,EQ,30-Jan-24,3801.00,3807.45,3847.80,3787.00,3801.40,3800.55,3816.76,1411621.00,5387816849.15,96931.00,914543.00,64.79
TCS,EQ,31-Jan-24,3800.55,3811.20,3834.00,3796.45,3804.00,3815.95,3814.91,2459358.00,9382220705.45,166663.00,1824652.00,74.19
TCS,EQ,01-Feb-24,3815.95,3820.00,3904.90,3805.05,3842.65,3854.15,3863.88,2363107.00,9130767055.90,200156.00,1267308.00,53.63
TCS,EQ,02-Feb-24,3854.15,3875.05,3984.40,3872.00,3959.20,3966.30,3944.48,2826510.00,11149116302.85,271200.00,1435372.00,50.78
TCS,EQ,05-Feb-24,3966.30,3983.00,4022.00,3962.10,3966.95,3973.30,3996.07,1691523.00,6759438477.25,156341.00,1015070.00,60.01
TCS,EQ,06-Feb-24,3973.30,3997.00,4149.90,3990.00,4129.35,4136.00,4106.33,4474396.00,18373368282.15,325723.00,2479611.00,55.42
TCS,EQ,07-Feb-24,4136.00,4153.00,4155.00,4073.95,4085.00,4083.40,4115.33,2124267.00,8742061109.55,177689.00,1433758.00,67.49
TCS,EQ,08-Feb-24,4083.40,4090.00,4158.00,4086.05,4137.85,4134.10,4122.74,2345173.00,9668540283.35,212471.00,946960.00,40.38
TCS,EQ,09-Feb-24,4134.10,4136.55,4184.75,4100.00,4132.00,4133.70,4135.50,2100596.00,8687013883.30,204415.00,836221.00,39.81
TCS,EQ,12-Feb-24,4133.70,4130.00,4159.60,4105.55,4119.00,4120.70,4128.10,1013716.00,4184716444.45,110339.00,545028.00,53.77
TCS,EQ,13-Feb-24,4120.70,4125.45,4170.00,4081.50,4145.00,4149.50,4130.03,1257415.00,5193163729.60,140800.00,757833.00,60.27
TCS,EQ,14-Feb-24,4149.50,4107.00,4114.90,4049.50,4106.00,4100.10,4092.10,1391283.00,5693275185.95,126863.00,844545.00,60.70
TCS,EQ,15-Feb-24,4100.10,4128.00,4146.30,4083.00,4106.00,4103.20,4107.34,1091582.00,4483499686.35,117286.00,479725.00,43.95
TCS,EQ,16-Feb-24,4103.20,4113.25,4147.95,4100.10,4122.30,4128.30,4124.07,1307556.00,5392447497.55,125414.00,660555.00,50.52
TCS,EQ,19-Feb-24,4128.30,4123.05,4128.30,4055.00,4099.85,4103.80,4092.76,772291.00,3160800378.55,70873.00,343479.00,44.48
TCS,EQ,20-Feb-24,4103.80,4082.10,4098.00,4010.00,4035.00,4030.65,4047.78,1193648.00,4831625596.80,108310.00,628009.00,52.61
TCS,EQ,21-Feb-24,4030.65,4013.00,4063.35,3980.60,3987.00,3991.50,4025.98,1885939.00,7592748600.05,135075.00,1093371.00,57.97
TCS,EQ,22-Feb-24,3991.50,3971.00,4094.95,3971.00,4082.55,4087.10,4036.74,2982052.00,12037760611.30,233453.00,1465287.00,49.14
TCS,EQ,23-Feb-24,4087.10,4130.00,4130.00,4046.40,4046.40,4052.10,4086.76,2538072.00,10372488169.05,207942.00,1764308.00,69.51
TCS,EQ,26-Feb-24,4052.10,4036.00,4050.00,3982.75,4001.90,4001.05,4001.89,1379284.00,5519738697.40,168908.00,943439.00,68.40
TCS,EQ,27-Feb-24,4001.05,3999.00,4124.00,3999.00,4100.50,4104.40,4083.47,2960475.00,12089017645.25,235296.00,1732919.00,58.54
TCS,EQ,28-Feb-24,4104.40,4095.60,4154.90,4089.00,4109.90,4118.95,4126.35,1939225.00,8001915262.30,139242.00,1044776.00,53.88
TCS,EQ,29-Feb-24,4118.95,4099.00,4138.10,4064.55,4113.00,4095.10,4098.60,3772719.00,15462863779.50,165001.00,2223680.00,58.94
TCS,EQ,01-Mar-24,4095.10,4107.20,4140.00,4086.80,4093.00,4094.35,4110.85,2043265.00,8399555212.15,157981.00,1202586.00,58.86
TCS,EQ,02-Mar-24,4094.35,4112.70,4129.50,4090.15,4110.00,4107.10,4110.65,65057.00,267426764.05,8974.00,34991.00,53.79
TCS,EQ,04-Mar-24,4107.10,4105.00,4117.90,4075.90,4082.00,4080.70,4090.25,1749271.00,7154955206.30,114412.00,1295900.00,74.08
